address,distance,name,link,showing,day
"12812 Hill Country Boulevard, Bee Cave, TX 78738",12.2 mi,Cinemark Hill Country Galleria,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Cinemark+Hill+Country+Galleria&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep0F8qrrxewhuW6BH33pGrwE1XGIVsDm6V3CgjglkPay_HtJnkDJBibNSnYoJBTkWlt-q2pW3p739Vfy2lXf3ZkQ4epxCNiV4kJ75Fp2EGk56r-OGQE6z-LD4n_WxkjY7zrwuzfcR1aBexLJv0Dfft7WKMMXfAPrQ5Jd0mKPLLNwG5h-x0WGkhSdYzDv_MweD7F3GFDE%3D,"[{time:[4:35pm,7:50pm],type:Standard}]",2024-10-20
"8300 N FM 620 Building B, Austin, TX 78726",12.5 mi,Moviehouse & Eatery by Cinépolis NW Austin,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Moviehouse+%26+Eatery+by+Cin%C3%A9polis+NW+Austin&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQw5PXvgxQ3dceXYM5jIww146RxeTM8gn_h73th0s3uQEW53RKdX-Hl0c28Ng4s1EH0wvEnsQzzw_SrWp3DTtGUuiozq9wA8M86FMG7jz9L-D-WVe_wt2J5_xAr_MAMPbKAJjI6L9Y1NJcDLnJYXcmXC_XLdOAHo9JTkuXlDl8xjl3t0SzRsBHDJILGrghaAPNmnQg7yJNkRtmwzNKqLZ3OUMk5qz,"[{time:[6:45pm,10:00pm],type:Standard}]",2024-10-20
"15436 FM 1825, Pflugerville, TX 78660",13.4 mi,Cinemark Pflugerville 20 and XD,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Cinemark+Pflugerville+20+and+XD&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep4XKm54OuCcg1YOLHaKa-kWYzSyJ9wgwoQao4UiZhfyyI7pk8KsWRiDvhFgh9oSuJAk4YscI3tjHirAFxJAPOChmko4HJiaEgzcffjHHRj2WbFM1XRxIyuPnScMmpczrz8qzwBYrTn8ucVJnlwVjhOXTUIXUp0EQOz4l-xvgNGfV6HV2O_YBqApUZUACqRvKDktA4b8%3D,"[{time:[4:25pm,7:45pm,9:35pm],type:Standard}]",2024-10-20
"Suite 1500, 13729 Research Blvd, Austin, TX 78750",13.6 mi,Southwest Theaters Lake Creek 7,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Southwest+Theaters+Lake+Creek+7&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQ407hSMqc0rexbkUUUitaxtIAqRYfaTSTGFr4tS2uppLa1X1N5ZUIGidAIZvKjSg_XM3K-DBKeTf0KNOG30bdRgfzY0xRzWtpI0fqq_K022nNZ6yhbXy7i-v89_LSFbnlQuRSB8kmypmjeLyugmCFbZ97mxlEdrdGXkV2arfDKFyifu0w_ph89BzAt_sfniA16zAVxCEiX5J17A9WrZCu7jtACxg,"[{time:[3:50pm,6:50pm,10:00pm],type:Standard}]",2024-10-20
"1120 South Lamar Boulevard, Austin, TX 78704",1.5 mi,Alamo Drafthouse Cinema South Lamar,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Alamo+Drafthouse+Cinema+South+Lamar&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQyeWMKUnglCN8tYnbka20YoX-K2RAZOgwrjfmC0C-XDImm3lcHAsPt3OS92aqYk3aFWM-NOpqbvgCLSNTFptKotMO555SKZ3P5Zk8LvPcAPWWQdk4oTYaJY_KfvqxlWTpBlq2w_n_hohWLbeSEtB9ZpVm_Jl5kCrCjOf2e0k4efyBwtxbnnB-pijTJXiZqEvHjO28LBZhbKs3ruW-ox_59cs-juq,"[{time:[11:45am],type:Standard}]",2024-10-21
"Suite 120, 1911 Aldrich Street, Austin, TX 78723",3.2 mi,Alamo Drafthouse Cinema Mueller,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Alamo+Drafthouse+Cinema+Mueller&si=ACC90nwLLwns5sISZcdzuISy7t-NHozt8Cbt6G3WNQfC9ekAgNmp0gx0YVGFhV6BP4CsyD4zKfJMtArbGmqUwHbRYH711icsH8w6k94vpbUMrva2mvNguIOwR2VUs4Srzb0M9IaBNgmKLR6QBeZVV1w2_XpOu-NmJhjmAVWWWII6s6fLAjAeOaxrPVBlEpSacccM-1BLmni-6Te8SmMkk7gnElHBWlTbK0141byaG-6Vs8OM5uZwGQ6tAgUmygbKrVMUtZiDDGuC,"[{time:[12:10pm],type:Standard}]",2024-10-21
"2901 Capital Of Texas Highway, Austin, TX 78746",4.0 mi,AMC Barton Creek Square 14,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=AMC+Barton+Creek+Square+14&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep0g26SFiuh0ASCfoNan6osD-mWpFJH18PptfteVMyZY0AAlwh3nZShKRhBBhzs8mNNkHNrMTGN_LinddSpHfO424U3cToB0z5hgo5VD7EPPGc47LL1dJZBSJrC3AIkDLw_fRex8-tkhRbT_3EWxvMlg4cO64ZsV3vY46GlC6s3Oy6HAGq1HJ1KKOmMuvBkJ6X7I2nmg%3D,"[{time:[2:45pm,6:00pm,9:15pm],type:Standard},{time:[10:30pm],type:IMAX}]",2024-10-21
"4477 South Lamar Boulevard, Austin, TX 78745",4.3 mi,Regal Westgate,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Regal+Westgate&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQ--xXR86lNCuErlseq4E8paIKQL171z7IL-s3izIWxuh3ZjwWv_uQ2ZjeqYp72uhHkngN84on0YzcolD9MPV7CBLtKqmwW3lF0wl5PRrJFbn9rlEEVoyoqMYq_DEeIzLz1aNqd7rp6LCycIimWJ3bFOjEd6M_cMgGXo0BXcSdhZvxwpYLrcfPOHd48JfQoSq3yVu3hjTqDykFNZb_EH0_dbXYTq7,"[{time:[12:30pm,3:45pm,6:30pm],type:Standard}]",2024-10-21
"901 Little Texas Lane, Austin, TX 78745",5.1 mi,Regal Metropolitan,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Regal+Metropolitan&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep9-sk7PGjTQ3jWGXHKuCHdhomakvRr734l3bGsKigQhuqnZTy7HgMsmNXR2dvxoshEwqSd1QY_FvehDYB6DddiycEtTwXsmAe8B6sKeq-bh0qKcwx-rvAajSFxvZQUrU8sPDRrPKA9gcrMs3XETw-JQ8bjRs8Ea8K_lSSfOB7p3ptMJvPL5QkmF9GYx82qE-_gmsoYk%3D,"[{time:[1:40pm,4:25pm,7:45pm],type:Standard}]",2024-10-21
"9700 Stonelake Boulevard, Austin, TX 78759",8.4 mi,Regal Gateway,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Regal+Gateway&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep-FP0jLCfmnpGKon3aFTecvVFXroA4MGciquQ1NhQQlbTbgfK-E9CEyFVgyq3IPiuaWeUNHCgcFGERGSdBolWaDMsEiqd5FIz_T3z1dsmqVpc18f2tXP3vXbjnHHMRJIpOUtbrrPL6FBhu4SMBCgR47dG7TxhMorB1bq89r4BlJgJi7d2VW3nllEOoA2Azh44t1Fu6A%3D,"[{time:[1:15pm,4:25pm,7:50pm],type:Standard}]",2024-10-21
